"id","label","comment","enumerationtype","supersedes","supersededBy","isPartOf"
"http://schema.org/ActiveActionStatus","ActiveActionStatus","An in-progress action (e.g, while watching the movie, or driving to a location).","http://schema.org/ActionStatusType","","",""
"http://schema.org/AlbumRelease","AlbumRelease","AlbumRelease.","http://schema.org/MusicAlbumReleaseType","","",""
"http://schema.org/AllWheelDriveConfiguration","AllWheelDriveConfiguration","All-wheel Drive is a transmission layout where the engine drives all four wheels.","http://schema.org/DriveWheelConfigurationValue","","",""
"http://schema.org/AudiobookFormat","AudiobookFormat","Book format: Audiobook. This is an enumerated value for use with the bookFormat property. There is also a type 'Audiobook' in the bib extension which includes Audiobook specific properties.","http://schema.org/BookFormatType","","",""
"http://schema.org/BroadcastRelease","BroadcastRelease","BroadcastRelease.","http://schema.org/MusicAlbumReleaseType","","",""
"http://schema.org/CDFormat","CDFormat","CDFormat.","http://schema.org/MusicReleaseFormatType","","",""
"http://schema.org/CassetteFormat","CassetteFormat","CassetteFormat.","http://schema.org/MusicReleaseFormatType","","",""
"http://schema.org/CoOp","CoOp","Play mode: CoOp. Co-operative games, where you play on the same team with friends.","http://schema.org/GamePlayMode","","",""
"http://schema.org/CommentPermission","CommentPermission","Permission to add comments to the document.","http://schema.org/DigitalDocumentPermissionType","","",""
"http://schema.org/CompilationAlbum","CompilationAlbum","CompilationAlbum.","http://schema.org/MusicAlbumProductionType","","",""
"http://schema.org/CompletedActionStatus","CompletedActionStatus","An action that has already taken place.","http://schema.org/ActionStatusType","","",""
"http://schema.org/DJMixAlbum","DJMixAlbum","DJMixAlbum.","http://schema.org/MusicAlbumProductionType","","",""
"http://schema.org/DVDFormat","DVDFormat","DVDFormat.","http://schema.org/MusicReleaseFormatType","","",""
"http://schema.org/DamagedCondition","DamagedCondition","Indicates that the item is damaged.","http://schema.org/OfferItemCondition","","",""
"http://schema.org/DemoAlbum","DemoAlbum","DemoAlbum.","http://schema.org/MusicAlbumProductionType","","",""
"http://schema.org/DiabeticDiet","DiabeticDiet","A diet appropriate for people with diabetes.","http://schema.org/RestrictedDiet","","",""
"http://schema.org/DigitalAudioTapeFormat","DigitalAudioTapeFormat","DigitalAudioTapeFormat.","http://schema.org/MusicReleaseFormatType","","",""
"http://schema.org/DigitalFormat","DigitalFormat","DigitalFormat.","http://schema.org/MusicReleaseFormatType","","",""
"http://schema.org/Discontinued","Discontinued","Indicates that the item has been discontinued.","http://schema.org/ItemAvailability","","",""
"http://schema.org/EBook","EBook","Book format: Ebook.","http://schema.org/BookFormatType","","",""
"http://schema.org/EPRelease","EPRelease","EPRelease.","http://schema.org/MusicAlbumReleaseType","","",""
"http://schema.org/EventCancelled","EventCancelled","The event has been cancelled. If the event has multiple startDate values, all are assumed to be cancelled. Either startDate or previousStartDate may be used to specify the event's cancelled date(s).","http://schema.org/EventStatusType","","",""
"http://schema.org/EventPostponed","EventPostponed","The event has been postponed and no new date has been set. The event's previousStartDate should be set.","http://schema.org/EventStatusType","","",""
"http://schema.org/EventRescheduled","EventRescheduled","The event has been rescheduled. The event's previousStartDate should be set to the old date and the startDate should be set to the event's new date. (If the event has been rescheduled multiple times, the previousStartDate property may be repeated).","http://schema.org/EventStatusType","","",""
"http://schema.org/EventScheduled","EventScheduled","The event is taking place or has taken place on the startDate as scheduled. Use of this value is optional, as it is assumed by default.","http://schema.org/EventStatusType","","",""
"http://schema.org/FailedActionStatus","FailedActionStatus","An action that failed to complete. The action's error property and the HTTP return code contain more information about the failure.","http://schema.org/ActionStatusType","","",""
"http://schema.org/Female","Female","The female gender.","http://schema.org/GenderType","","",""
"http://schema.org/FourWheelDriveConfiguration","FourWheelDriveConfiguration","Four-wheel drive is a transmission layout where the engine primarily drives two wheels with a part-time four-wheel drive capability.","http://schema.org/DriveWheelConfigurationValue","","",""
"http://schema.org/Friday","Friday","The day of the week between Thursday and Saturday.","http://schema.org/DayOfWeek","","",""
"http://schema.org/FrontWheelDriveConfiguration","FrontWheelDriveConfiguration","Front-wheel drive is a transmission layout where the engine drives the front wheels.","http://schema.org/DriveWheelConfigurationValue","","",""
"http://schema.org/GlutenFreeDiet","GlutenFreeDiet","A diet exclusive of gluten.","http://schema.org/RestrictedDiet","","",""
"http://schema.org/GroupBoardingPolicy","GroupBoardingPolicy","The airline boards by groups based on check-in time, priority, etc.","http://schema.org/BoardingPolicyType","","",""
"http://schema.org/HalalDiet","HalalDiet","A diet conforming to Islamic dietary practices.","http://schema.org/RestrictedDiet","","",""
"http://schema.org/Hardcover","Hardcover","Book format: Hardcover.","http://schema.org/BookFormatType","","",""
"http://schema.org/HearingImpairedSupported","HearingImpairedSupported","Uses devices to support users with hearing impairments.","http://schema.org/ContactPointOption","","",""
"http://schema.org/HinduDiet","HinduDiet","A diet conforming to Hindu dietary practices, in particular, beef-free.","http://schema.org/RestrictedDiet","","",""
"http://schema.org/InStock","InStock","Indicates that the item is in stock.","http://schema.org/ItemAvailability","","",""
"http://schema.org/InStoreOnly","InStoreOnly","Indicates that the item is available only at physical locations.","http://schema.org/ItemAvailability","","",""
"http://schema.org/ItemListOrderAscending","ItemListOrderAscending","An ItemList ordered with lower values listed first.","http://schema.org/ItemListOrderType","","",""
"http://schema.org/ItemListOrderDescending","ItemListOrderDescending","An ItemList ordered with higher values listed first.","http://schema.org/ItemListOrderType","","",""
"http://schema.org/ItemListUnordered","ItemListUnordered","An ItemList ordered with no explicit order.","http://schema.org/ItemListOrderType","","",""
"http://schema.org/KosherDiet","KosherDiet","A diet conforming to Jewish dietary practices.","http://schema.org/RestrictedDiet","","",""
"http://schema.org/LaserDiscFormat","LaserDiscFormat","LaserDiscFormat.","http://schema.org/MusicReleaseFormatType","","",""
"http://schema.org/LeftHandDriving","LeftHandDriving","The steering position is on the left side of the vehicle (viewed from the main direction of driving).","http://schema.org/SteeringPositionValue","","",""
"http://schema.org/LimitedAvailability","LimitedAvailability","Indicates that the item has limited availability.","http://schema.org/ItemAvailability","","",""
"http://schema.org/LiveAlbum","LiveAlbum","LiveAlbum.","http://schema.org/MusicAlbumProductionType","","",""
"http://schema.org/LowCalorieDiet","LowCalorieDiet","A diet focused on reduced calorie intake.","http://schema.org/RestrictedDiet","","",""
"http://schema.org/LowFatDiet","LowFatDiet","A diet focused on reduced fat and cholesterol intake.","http://schema.org/RestrictedDiet","","",""
"http://schema.org/LowLactoseDiet","LowLactoseDiet","A diet appropriate for people with lactose intolerance.","http://schema.org/RestrictedDiet","","",""
"http://schema.org/LowSaltDiet","LowSaltDiet","A diet focused on reduced sodium intake.","http://schema.org/RestrictedDiet","","",""
"http://schema.org/Male","Male","The male gender.","http://schema.org/GenderType","","",""
"http://schema.org/MixtapeAlbum","MixtapeAlbum","MixtapeAlbum.","http://schema.org/MusicAlbumProductionType","","",""
"http://schema.org/Monday","Monday","The day of the week between Sunday and Tuesday.","http://schema.org/DayOfWeek","","",""
"http://schema.org/MultiPlayer","MultiPlayer","Play mode: MultiPlayer. Requiring or allowing multiple human players to play simultaneously.","http://schema.org/GamePlayMode","","",""
"http://schema.org/NewCondition","NewCondition","Indicates that the item is new.","http://schema.org/OfferItemCondition","","",""
"http://schema.org/OfflinePermanently","OfflinePermanently","Game server status: OfflinePermanently. Server is offline and not available.","http://schema.org/GameServerStatus","","",""
"http://schema.org/OfflineTemporarily","OfflineTemporarily","Game server status: OfflineTemporarily. Server is offline now but it can be online soon.","http://schema.org/GameServerStatus","","",""
"http://schema.org/OnSitePickup","OnSitePickup","A DeliveryMethod in which an item is collected on site, e.g. in a store or at a box office.","http://schema.org/DeliveryMethod","","",""
"http://schema.org/Online","Online","Game server status: Online. Server is available.","http://schema.org/GameServerStatus","","",""
"http://schema.org/OnlineFull","OnlineFull","Game server status: OnlineFull. Server is online but unavailable. The maximum number of players has reached.","http://schema.org/GameServerStatus","","",""
"http://schema.org/OnlineOnly","OnlineOnly","Indicates that the item is available only online.","http://schema.org/ItemAvailability","","",""
"http://schema.org/OrderCancelled","OrderCancelled","OrderStatus representing cancellation of an order.","http://schema.org/OrderStatus","","",""
"http://schema.org/OrderDelivered","OrderDelivered","OrderStatus representing successful delivery of an order.","http://schema.org/OrderStatus","","",""
"http://schema.org/OrderInTransit","OrderInTransit","OrderStatus representing that an order is in transit.","http://schema.org/OrderStatus","","",""
"http://schema.org/OrderPaymentDue","OrderPaymentDue","OrderStatus representing that payment is due on an order.","http://schema.org/OrderStatus","","",""
"http://schema.org/OrderPickupAvailable","OrderPickupAvailable","OrderStatus representing availability of an order for pickup.","http://schema.org/OrderStatus","","",""
"http://schema.org/OrderProblem","OrderProblem","OrderStatus representing that there is a problem with the order.","http://schema.org/OrderStatus","","",""
"http://schema.org/OrderProcessing","OrderProcessing","OrderStatus representing that an order is being processed.","http://schema.org/OrderStatus","","",""
"http://schema.org/OrderReturned","OrderReturned","OrderStatus representing that an order has been returned.","http://schema.org/OrderStatus","","",""
"http://schema.org/OutOfStock","OutOfStock","Indicates that the item is out of stock.","http://schema.org/ItemAvailability","","",""
"http://schema.org/Paperback","Paperback","Book format: Paperback.","http://schema.org/BookFormatType","","",""
"http://schema.org/ParkingMap","ParkingMap","A parking map.","http://schema.org/MapCategoryType","","",""
"http://schema.org/PaymentAutomaticallyApplied","PaymentAutomaticallyApplied","An automatic payment system is in place and will be used.","http://schema.org/PaymentStatusType","","",""
"http://schema.org/PaymentComplete","PaymentComplete","The payment has been received and processed.","http://schema.org/PaymentStatusType","","",""
"http://schema.org/PaymentDeclined","PaymentDeclined","The payee received the payment, but it was declined for some reason.","http://schema.org/PaymentStatusType","","",""
"http://schema.org/PaymentDue","PaymentDue","The payment is due, but still within an acceptable time to be received.","http://schema.org/PaymentStatusType","","",""
"http://schema.org/PaymentPastDue","PaymentPastDue","The payment is due and considered late.","http://schema.org/PaymentStatusType","","",""
"http://schema.org/PotentialActionStatus","PotentialActionStatus","A description of an action that is supported.","http://schema.org/ActionStatusType","","",""
"http://schema.org/PreOrder","PreOrder","Indicates that the item is available for pre-order, but will be delivered when generally available.","http://schema.org/ItemAvailability","","",""
"http://schema.org/PreSale","PreSale","Indicates that the item is available for ordering and delivery before general availability.","http://schema.org/ItemAvailability","","",""
"http://schema.org/PublicHolidays","PublicHolidays","This stands for any day that is a public holiday; it is a placeholder for all official public holidays in some particular location. While not technically a ""day of the week"", it can be used with <a class=""localLink"" href=""http://schema.org/OpeningHoursSpecification"">OpeningHoursSpecification</a>. In the context of an opening hours specification it can be used to indicate opening hours on public holidays, overriding general opening hours for the day of the week on which a public holiday occurs.","http://schema.org/DayOfWeek","","",""
"http://schema.org/ReadPermission","ReadPermission","Permission to read or view the document.","http://schema.org/DigitalDocumentPermissionType","","",""
"http://schema.org/RearWheelDriveConfiguration","RearWheelDriveConfiguration","Real-wheel drive is a transmission layout where the engine drives the rear wheels.","http://schema.org/DriveWheelConfigurationValue","","",""
"http://schema.org/RefurbishedCondition","RefurbishedCondition","Indicates that the item is refurbished.","http://schema.org/OfferItemCondition","","",""
"http://schema.org/RemixAlbum","RemixAlbum","RemixAlbum.","http://schema.org/MusicAlbumProductionType","","",""
"http://schema.org/ReservationCancelled","ReservationCancelled","The status for a previously confirmed reservation that is now cancelled.","http://schema.org/ReservationStatusType","","",""
"http://schema.org/ReservationConfirmed","ReservationConfirmed","The status of a confirmed reservation.","http://schema.org/ReservationStatusType","","",""
"http://schema.org/ReservationHold","ReservationHold","The status of a reservation on hold pending an update like credit card number or flight changes.","http://schema.org/ReservationStatusType","","",""
"http://schema.org/ReservationPending","ReservationPending","The status of a reservation when a request has been sent, but not confirmed.","http://schema.org/ReservationStatusType","","",""
"http://schema.org/RightHandDriving","RightHandDriving","The steering position is on the right side of the vehicle (viewed from the main direction of driving).","http://schema.org/SteeringPositionValue","","",""
"http://schema.org/RsvpResponseMaybe","RsvpResponseMaybe","The invitee may or may not attend.","http://schema.org/RsvpResponseType","","",""
"http://schema.org/RsvpResponseNo","RsvpResponseNo","The invitee will not attend.","http://schema.org/RsvpResponseType","","",""
"http://schema.org/RsvpResponseYes","RsvpResponseYes","The invitee will attend.","http://schema.org/RsvpResponseType","","",""
"http://schema.org/Saturday","Saturday","The day of the week between Friday and Sunday.","http://schema.org/DayOfWeek","","",""
"http://schema.org/SeatingMap","SeatingMap","A seating map.","http://schema.org/MapCategoryType","","",""
"http://schema.org/SinglePlayer","SinglePlayer","Play mode: SinglePlayer. Which is played by a lone player.","http://schema.org/GamePlayMode","","",""
"http://schema.org/SingleRelease","SingleRelease","SingleRelease.","http://schema.org/MusicAlbumReleaseType","","",""
"http://schema.org/SoldOut","SoldOut","Indicates that the item has sold out.","http://schema.org/ItemAvailability","","",""
"http://schema.org/SoundtrackAlbum","SoundtrackAlbum","SoundtrackAlbum.","http://schema.org/MusicAlbumProductionType","","",""
"http://schema.org/SpokenWordAlbum","SpokenWordAlbum","SpokenWordAlbum.","http://schema.org/MusicAlbumProductionType","","",""
"http://schema.org/StudioAlbum","StudioAlbum","StudioAlbum.","http://schema.org/MusicAlbumProductionType","","",""
"http://schema.org/Sunday","Sunday","The day of the week between Saturday and Monday.","http://schema.org/DayOfWeek","","",""
"http://schema.org/Thursday","Thursday","The day of the week between Wednesday and Friday.","http://schema.org/DayOfWeek","","",""
"http://schema.org/TollFree","TollFree","The associated telephone number is toll free.","http://schema.org/ContactPointOption","","",""
"http://schema.org/TransitMap","TransitMap","A transit map.","http://schema.org/MapCategoryType","","",""
"http://schema.org/Tuesday","Tuesday","The day of the week between Monday and Wednesday.","http://schema.org/DayOfWeek","","",""
"http://schema.org/UsedCondition","UsedCondition","Indicates that the item is used.","http://schema.org/OfferItemCondition","","",""
"http://schema.org/VeganDiet","VeganDiet","A diet exclusive of all animal products.","http://schema.org/RestrictedDiet","","",""
"http://schema.org/VegetarianDiet","VegetarianDiet","A diet exclusive of animal meat.","http://schema.org/RestrictedDiet","","",""
"http://schema.org/VenueMap","VenueMap","A venue map (e.g. for malls, auditoriums, museums, etc.).","http://schema.org/MapCategoryType","","",""
"http://schema.org/VinylFormat","VinylFormat","VinylFormat.","http://schema.org/MusicReleaseFormatType","","",""
"http://schema.org/Wednesday","Wednesday","The day of the week between Tuesday and Thursday.","http://schema.org/DayOfWeek","","",""
"http://schema.org/WritePermission","WritePermission","Permission to write or edit the document.","http://schema.org/DigitalDocumentPermissionType","","",""
"http://schema.org/ZoneBoardingPolicy","ZoneBoardingPolicy","The airline boards by zones of the plane.","http://schema.org/BoardingPolicyType","","",""
